no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,total_asset_value
0,1,1,1900000,5700000,18,699,0,14200000
3,1,1,9100000,24600000,2,741,0,61100000
5,0,0,1100000,3800000,18,508,1,5200000
5,1,1,1100000,2800000,10,647,0,10400000
1,0,0,9300000,28600000,14,656,0,66300000
4,0,1,3900000,10600000,2,439,1,25200000
5,1,1,1500000,4000000,12,350,1,10400000
5,0,0,800000,2200000,6,493,1,5200000
4,0,0,600000,1800000,6,851,0,4100000
2,0,0,4400000,12500000,18,492,1,21900000
4,0,1,2700000,5400000,6,861,0,18100000
3,1,1,6200000,14600000,2,664,0,50100000
5,0,1,700000,1300000,16,362,1,6400000
0,0,0,3400000,9400000,6,703,0,17800000
1,1,1,4900000,16800000,12,758,0,21400000
3,1,1,4200000,9700000,2,396,1,21800000
0,0,1,5300000,10600000,2,828,0,38000000
5,0,1,3700000,10000000,20,709,0,23000000
4,1,1,5600000,17500000,10,528,1,35800000
2,0,1,4300000,16000000,14,623,0,38000000
4,1,1,7100000,24500000,14,599,0,43300000
4,0,1,5400000,12700000,4,622,0,35900000
0,1,0,6000000,13100000,6,385,1,53600000
4,0,1,4100000,12500000,2,579,0,32300000
4,1,0,8300000,17900000,20,846,0,53000000
3,0,0,8100000,23900000,10,449,1,50400000
1,1,0,7200000,24900000,14,666,0,37600000
5,0,0,7200000,17500000,4,380,1,26400000
2,0,1,3500000,8100000,4,589,0,25700000
1,0,0,6200000,19500000,12,845,0,31300000
3,1,0,5200000,17300000,10,401,1,23100000
0,1,0,4500000,14500000,2,766,0,38300000
5,1,0,5400000,15100000,12,522,1,29500000
3,1,1,2000000,6900000,6,834,0,14400000
3,0,0,8900000,25400000,8,588,0,54800000
2,0,0,5000000,10600000,4,570,0,34700000
2,0,0,4900000,17600000,6,860,0,39400000
4,0,1,5300000,19200000,4,655,0,42800000
3,1,1,8500000,27700000,4,457,0,28100000
5,0,1,700000,2100000,14,863,0,4600000
3,1,1,5900000,18900000,4,742,0,46500000
3,0,0,3500000,13300000,4,798,0,28400000
5,1,1,7700000,18900000,16,552,0,52200000
2,1,1,4500000,12500000,12,418,1,21400000
0,0,0,9100000,22200000,6,419,1,36000000
1,1,1,9000000,29900000,2,668,0,58400000
2,1,0,8900000,29200000,8,608,0,61200000
5,1,0,6500000,13800000,10,342,1,39300000
4,1,1,8100000,18000000,8,817,0,36900000
1,1,0,8400000,29900000,16,476,1,58700000
0,1,0,5300000,20000000,6,881,0,43100000
2,0,0,4100000,15600000,12,838,0,28100000
3,1,0,6900000,27400000,4,406,0,45900000
1,0,1,5200000,19500000,12,778,0,35200000
5,1,1,2000000,7400000,14,799,0,12700000
3,0,0,4600000,17800000,20,716,0,30500000
0,0,1,7100000,20100000,16,756,0,36000000
0,1,0,9300000,20100000,10,743,0,42100000
3,1,0,5400000,19400000,20,731,0,41300000
3,1,0,4100000,8500000,2,833,0,31600000
4,1,0,4900000,11400000,8,470,1,39000000
5,0,1,5400000,21200000,20,734,0,28100000
0,0,0,3000000,9600000,12,620,0,20100000
0,1,1,6800000,14400000,8,812,0,47200000
4,0,1,5100000,14000000,12,459,1,27000000
0,0,1,9800000,32600000,10,704,0,54000000
1,0,1,1600000,4100000,6,391,1,12100000
4,0,0,8000000,29100000,4,421,0,50900000
5,0,0,2900000,6700000,14,796,0,21400000
4,0,0,9200000,30300000,10,607,0,79100000
3,1,0,9500000,20400000,14,376,1,43200000
0,0,1,3700000,8500000,8,424,1,26400000
5,0,1,7100000,20800000,6,442,1,45300000
5,1,0,5600000,17600000,14,448,1,35900000
0,0,1,1200000,2700000,2,638,0,6200000
3,1,0,1600000,5600000,6,710,0,11500000
4,1,1,1600000,4800000,20,641,0,10700000
2,1,0,5300000,20200000,10,348,1,42100000
5,1,0,9100000,19900000,20,519,1,65100000
4,1,1,9400000,35000000,10,517,1,60000000
3,1,0,5900000,22400000,6,375,1,39900000
2,0,1,1100000,3400000,10,426,1,6400000
4,0,1,3100000,11500000,14,785,0,19600000
4,1,0,2200000,8600000,20,373,1,12700000
1,0,0,6000000,20100000,6,476,1,44600000
1,0,1,2000000,5600000,18,320,1,11400000
4,0,0,7200000,22900000,18,657,0,41200000
1,1,1,500000,1900000,12,868,0,2800000
1,1,1,5800000,13900000,6,345,1,39700000
0,1,0,200000,300000,6,472,1,1200000
4,1,1,4600000,9500000,20,613,0,27800000
5,1,1,4600000,12800000,14,769,0,37300000
1,0,0,6500000,23100000,20,741,0,53500000
4,1,1,4400000,16600000,14,889,0,23000000
0,1,1,900000,3600000,10,683,0,6000000
0,1,1,3200000,7400000,18,780,0,18600000
3,0,0,600000,1100000,8,538,1,3000000
1,1,0,5200000,12600000,10,721,0,27300000
3,1,1,6400000,15200000,14,467,1,46200000
2,1,0,1000000,2500000,6,551,0,6500000
2,1,0,6800000,14800000,14,803,0,40800000
0,0,0,3000000,8400000,10,361,1,17000000
1,1,1,8700000,30700000,6,708,0,62000000
4,0,1,8800000,20900000,18,766,0,76500000
1,1,1,3900000,11500000,2,464,1,32500000
5,0,0,1700000,4300000,2,517,1,8100000
3,1,1,900000,2300000,6,747,0,4900000
1,1,0,7200000,24700000,6,596,0,37700000
0,0,0,9200000,25400000,2,783,0,59400000
3,1,0,5700000,19400000,2,335,0,45700000
5,1,1,1100000,2700000,4,889,0,5600000
2,1,1,1100000,2200000,4,874,0,6200000
0,0,1,6000000,23900000,4,394,0,38900000
2,0,1,8100000,28500000,20,420,1,44700000
2,1,1,6500000,25100000,20,848,0,41900000
0,0,1,7600000,17900000,16,788,0,42500000
1,0,0,2200000,4900000,8,509,1,12100000
4,1,1,6700000,15800000,12,466,1,38600000
5,0,1,1300000,4300000,2,595,0,6200000
1,1,0,2800000,6700000,12,322,1,14600000
3,0,0,7000000,18900000,2,691,0,32800000
3,1,1,8800000,26700000,10,379,1,62300000
0,0,0,8900000,25800000,18,531,1,44100000
5,1,0,7000000,21800000,4,631,0,39800000
0,0,1,6900000,18600000,10,330,1,49900000
5,0,0,9200000,29200000,16,383,1,67100000
0,0,1,6100000,19700000,16,678,0,40800000
1,0,1,4400000,14700000,8,894,0,29500000
4,1,0,9900000,22700000,12,567,0,73300000
5,1,0,3900000,14000000,4,708,0,23300000
3,0,0,6800000,21200000,2,433,0,42100000
4,1,0,3600000,8700000,14,302,1,22000000
4,0,0,700000,2600000,14,736,0,5000000
2,1,1,4000000,8500000,6,323,1,30600000
4,0,0,1800000,4100000,12,670,0,11700000
3,1,0,5600000,21000000,12,609,0,40500000
4,1,0,6800000,24200000,18,349,1,44000000
5,1,1,600000,1500000,2,319,1,3900000
1,1,0,4200000,16200000,14,391,1,24600000
4,1,0,5000000,18700000,10,755,0,19800000
1,1,0,4100000,12200000,6,354,1,32700000
3,1,1,2200000,8800000,2,877,0,15800000
1,1,0,3400000,8600000,16,312,1,23900000
0,0,0,7100000,15900000,14,746,0,44900000
3,0,0,5800000,19600000,16,313,1,48200000
2,0,0,3400000,12900000,14,857,0,16500000
2,1,0,7700000,18300000,20,504,1,38000000
0,0,0,500000,1200000,14,556,0,3200000
2,0,1,5300000,11000000,14,393,1,34900000
0,0,0,4700000,14400000,14,881,0,37100000
2,0,1,4300000,12200000,14,719,0,27400000
4,0,0,2000000,7500000,14,857,0,12100000
2,0,1,2000000,7600000,16,429,1,16400000
3,1,0,4100000,15900000,12,538,1,19200000
1,1,0,6900000,14400000,10,828,0,53300000
5,0,1,2300000,6100000,6,339,1,18300000
5,0,1,5800000,16600000,18,376,1,33900000
5,1,0,8000000,30000000,14,549,1,39300000
3,1,1,3700000,12700000,18,587,0,27000000
0,1,0,2600000,8400000,18,861,0,13500000
0,1,0,3000000,7000000,12,409,1,22800000
4,0,0,2700000,10200000,4,528,0,21600000
4,1,0,5700000,19600000,8,691,0,26100000
2,0,0,1500000,3600000,4,584,0,11700000
5,1,0,6800000,20000000,4,459,1,47400000
1,0,1,8100000,31700000,10,755,0,47500000
3,1,1,9200000,27700000,20,688,0,58100000
1,1,1,7600000,26000000,6,384,1,31700000
4,0,0,600000,1600000,20,869,0,4300000
1,1,1,4700000,18700000,20,445,1,17200000
0,0,0,1400000,5500000,6,393,1,9200000
3,0,1,9400000,24600000,10,414,1,51600000
2,0,0,9700000,19900000,16,395,1,64300000
3,1,1,8900000,21000000,14,815,0,39000000
5,0,0,4600000,10500000,8,758,0,26900000
5,1,1,5600000,14500000,10,457,1,39900000
0,0,1,1000000,3200000,10,854,0,7500000
3,0,0,3500000,10300000,16,324,1,18300000
0,1,0,7900000,31500000,14,849,0,66900000
3,0,1,6100000,24200000,12,672,0,39900000
3,1,1,8900000,20900000,6,859,0,66500000
4,0,0,5300000,15400000,8,584,0,25800000
5,1,0,1300000,4800000,4,346,0,9800000
3,0,0,4000000,12800000,18,635,0,30100000
2,1,0,8700000,22700000,4,365,1,60400000
1,1,0,9500000,20000000,16,856,0,66800000
5,0,1,9000000,20000000,2,440,1,54200000
0,0,1,7300000,23300000,2,616,0,51500000
3,0,1,7400000,25700000,2,461,0,28800000
5,1,0,3100000,10800000,10,681,0,15700000
2,0,0,4300000,9400000,2,485,1,32300000
1,0,1,2400000,8300000,6,684,0,16600000
1,0,0,5400000,17900000,14,727,0,30100000
2,1,0,1600000,5100000,6,784,0,9700000
3,1,1,9900000,20400000,4,865,0,79200000
3,1,0,5800000,20100000,18,791,0,34100000
4,1,0,2200000,8500000,16,866,0,15500000
2,1,1,600000,2100000,18,572,0,2600000
4,0,0,2200000,8600000,6,601,0,15600000
1,0,1,2600000,5500000,14,820,0,16400000
4,1,0,1200000,4300000,8,598,0,7900000
2,0,0,3100000,8700000,18,544,1,20100000
5,1,1,4600000,14500000,14,561,0,24500000
4,0,1,9300000,35500000,6,547,1,61500000
4,0,0,6300000,13400000,2,504,1,45300000
2,1,0,5900000,20800000,14,530,1,34800000
2,0,1,2900000,10600000,6,614,0,12500000
4,1,0,6100000,22400000,18,351,1,46000000
4,0,1,5900000,19700000,10,431,1,40500000
1,1,1,4600000,18400000,10,403,1,29200000
2,1,0,7000000,20200000,8,668,0,56800000
3,1,1,5100000,10400000,18,399,1,37000000
1,0,0,3100000,10600000,14,665,0,20400000
2,0,0,4100000,12800000,16,344,1,37200000
0,0,0,1800000,5400000,16,555,0,13600000
4,1,1,8200000,26900000,20,301,1,78300000
2,1,1,800000,2100000,6,726,0,5200000
2,0,0,8400000,23100000,6,689,0,39000000
0,1,0,8500000,33900000,4,665,0,43700000
3,1,1,3300000,12700000,16,608,0,26900000
3,1,0,5800000,12800000,20,335,1,30700000
3,1,0,4400000,10500000,18,677,0,19200000
1,1,0,2600000,8500000,2,491,0,11400000
2,1,1,9600000,28100000,20,763,0,72600000
5,1,1,5200000,18100000,8,809,0,28800000
5,1,1,9700000,36400000,16,544,1,55000000
1,0,1,200000,800000,14,624,0,1200000
3,0,0,6500000,16800000,10,388,1,32400000
4,0,1,7200000,23100000,14,644,0,39300000
0,1,0,5200000,18400000,14,600,0,37100000
2,1,0,6500000,14100000,2,709,0,38600000
5,0,1,2300000,5600000,8,642,0,15600000
0,1,1,3300000,10400000,4,423,0,26900000
0,1,1,2000000,5900000,12,900,0,16300000
2,0,1,8300000,19500000,4,415,1,42000000
4,0,1,3800000,14300000,4,645,0,17900000
0,1,0,5700000,15600000,16,742,0,24700000
4,1,0,7300000,19800000,8,724,0,50800000
1,0,0,1600000,5400000,12,707,0,9300000
5,1,1,800000,2500000,4,780,0,3500000
4,1,0,6300000,21900000,10,538,1,42100000
2,0,0,8800000,17700000,14,706,0,66700000
0,0,0,7300000,14500000,16,811,0,39100000
2,0,1,3800000,9100000,14,849,0,20700000
3,0,0,6200000,16700000,10,880,0,53200000
5,1,1,3500000,9500000,4,664,0,23000000
5,0,1,1400000,5000000,2,465,0,9400000
3,1,1,3500000,12000000,2,786,0,19400000
1,0,1,600000,2000000,10,326,1,4500000
0,1,0,4100000,10800000,16,399,1,31500000
2,1,1,5400000,11500000,6,841,0,24600000
2,1,1,2000000,6700000,14,638,0,12300000
4,0,1,3500000,8900000,4,478,1,23000000
0,0,1,8300000,30000000,4,600,0,63900000
0,0,1,6700000,15600000,16,768,0,31900000
0,1,0,1900000,6500000,10,523,1,10800000
2,0,1,6500000,20900000,14,327,1,35800000
1,0,1,600000,1800000,8,799,0,4700000
5,0,0,7000000,23000000,18,803,0,56900000
2,0,0,7700000,15400000,18,524,1,45600000
1,0,0,2600000,6600000,6,506,1,15900000
1,0,0,9200000,18800000,2,351,1,69100000
2,0,1,1800000,4200000,8,648,0,12100000
1,1,0,4900000,18500000,4,612,0,31300000
1,0,0,5700000,12400000,14,396,1,36100000
3,1,0,300000,800000,2,458,1,1800000
3,0,1,1700000,3400000,6,488,1,6700000
4,0,0,7000000,18900000,6,475,1,27300000
1,1,0,2200000,7000000,18,417,1,14300000
2,1,0,6800000,18700000,8,781,0,47600000
1,1,1,2400000,6200000,12,337,1,17200000
0,1,1,600000,1800000,12,511,1,3100000
4,0,0,6200000,17300000,6,837,0,45600000
1,1,0,7600000,24600000,12,810,0,47300000
2,1,0,4800000,10600000,8,588,0,28400000
5,0,0,4200000,9200000,12,870,0,23600000
0,1,1,7200000,20700000,10,733,0,56700000
5,1,1,6400000,20300000,16,348,1,48200000
0,1,1,8900000,23000000,12,741,0,51000000
3,1,0,5100000,14500000,12,306,1,24000000
2,0,1,6300000,19500000,18,428,1,49500000
3,0,0,6600000,22100000,4,455,0,39300000
1,1,1,4800000,14700000,2,356,0,34800000
0,0,0,200000,400000,4,594,0,1000000
0,1,1,7500000,25800000,18,844,0,34800000
4,0,0,9000000,34700000,4,771,0,56100000
2,0,0,5400000,12500000,4,622,0,34500000
1,1,1,1700000,4500000,20,480,1,8100000
4,0,0,4300000,11500000,20,337,1,39300000
1,0,0,5200000,11200000,6,698,0,43200000
4,1,0,4400000,17000000,18,302,1,22800000
1,1,1,3900000,7800000,14,349,1,27100000
0,0,0,1100000,3300000,10,482,1,7600000
2,0,0,2500000,8200000,10,429,1,13700000
4,0,0,500000,1300000,8,471,1,3000000
0,0,1,9000000,32400000,10,895,0,52800000
1,1,1,5100000,20300000,18,757,0,31800000
2,0,0,5200000,13500000,2,777,0,33800000
5,1,1,4400000,8900000,4,761,0,26300000
1,0,0,1900000,4200000,12,821,0,14400000
4,1,1,9200000,26500000,6,662,0,33600000
2,1,1,4800000,16500000,10,350,1,22800000
4,1,0,4900000,10700000,20,321,1,19200000
3,0,1,4800000,10100000,4,368,1,34200000
4,0,0,9300000,24900000,14,455,1,81300000
5,1,1,7500000,24600000,8,744,0,31200000
1,0,0,5900000,16800000,4,806,0,50800000
0,0,0,9400000,27900000,6,456,1,83300000
5,0,0,5300000,13400000,8,719,0,18500000
4,0,0,3700000,9000000,18,668,0,25900000
0,0,1,2500000,5800000,18,494,1,20300000
4,1,0,2800000,10800000,2,841,0,14500000
0,0,1,5400000,21400000,8,721,0,38700000
5,0,0,3100000,9400000,10,414,1,16300000
5,1,0,4800000,15500000,10,812,0,32300000
1,1,0,8800000,17500000,20,832,0,36800000
5,1,0,9700000,37000000,14,459,1,75000000
2,0,1,6400000,24100000,6,592,0,35000000
5,0,0,3400000,13100000,20,527,1,18000000
4,1,0,3500000,10200000,12,333,1,25500000
3,1,0,3200000,10000000,18,532,1,15300000
2,0,1,4900000,13100000,18,754,0,35200000
0,0,1,1300000,4800000,4,835,1,4700000
4,0,0,2500000,5400000,10,592,0,17700000
0,0,0,7500000,27300000,20,553,0,46700000
2,0,0,700000,2000000,8,806,0,5600000
4,0,1,8200000,28500000,2,378,0,55900000
1,1,0,6900000,26200000,4,534,0,50700000
1,1,1,1500000,5900000,16,400,1,12900000
3,0,0,6300000,18300000,18,543,1,32400000
0,1,1,8800000,25600000,10,715,0,71300000
4,0,1,8900000,20700000,6,684,0,37400000
3,1,1,2100000,6100000,8,346,1,13500000
1,0,1,9200000,29200000,6,669,0,57900000
2,1,0,3600000,8000000,12,566,0,25100000
0,1,1,8600000,23600000,2,361,1,63300000
5,0,0,3000000,8000000,6,333,1,14000000
3,1,1,5200000,16300000,8,335,1,37400000
3,0,1,7200000,20400000,10,558,0,51000000
1,1,1,4000000,15600000,12,436,1,31200000
1,1,0,2400000,5200000,2,371,1,19100000
2,1,1,5500000,18400000,10,515,1,33800000
0,1,1,9000000,24300000,10,599,0,49600000
0,1,1,7900000,24000000,20,728,0,63400000
2,1,1,6200000,21600000,20,679,0,54700000
3,0,1,7900000,29200000,4,399,0,65800000
3,1,0,1200000,4500000,6,819,0,7800000
1,0,0,4700000,11700000,6,308,1,31700000
5,0,1,5900000,15600000,2,730,0,39100000
4,1,1,1400000,5100000,14,312,1,9600000
3,1,1,4700000,12800000,16,740,0,28600000
5,0,1,7600000,20000000,10,522,1,47600000
4,0,0,7200000,16900000,4,702,0,54600000
4,1,1,1400000,4300000,16,447,1,11100000
5,0,0,1400000,2900000,4,829,0,8400000
2,0,0,7900000,18500000,18,727,0,59300000
5,1,1,7600000,18700000,14,509,1,42900000
3,0,1,9600000,34200000,2,745,0,44200000
1,1,0,2300000,6600000,18,513,1,16100000
2,1,0,8100000,18500000,6,372,1,68200000
2,0,1,300000,700000,4,411,1,1900000
4,0,0,4700000,10800000,20,495,1,39600000
5,1,0,1100000,2500000,4,827,0,8100000
4,1,0,8600000,25100000,6,820,0,53700000
5,0,1,8700000,28100000,10,660,0,62300000
0,1,0,2200000,8600000,4,563,0,9100000
1,1,1,500000,1400000,10,883,0,2900000
0,1,1,9100000,22000000,12,387,1,79600000
1,0,0,2200000,8700000,12,613,0,10400000
0,1,1,2200000,8000000,14,335,1,16300000
1,0,1,9600000,34500000,2,795,0,51700000
1,0,1,6500000,13900000,8,369,1,35400000
4,0,1,2400000,7400000,18,888,0,15100000
4,1,0,5500000,12300000,6,742,0,39700000
0,0,0,5000000,14400000,4,874,0,30300000
1,0,0,2700000,8100000,16,691,0,15800000
3,1,1,8500000,30300000,12,762,0,40600000
1,0,0,4400000,10700000,18,324,1,23600000
4,1,0,500000,1800000,20,777,0,2700000
0,0,0,8300000,21400000,2,662,0,53100000
2,1,1,6000000,13000000,12,462,1,24800000
3,1,1,4000000,10400000,14,609,0,25300000
5,0,1,4400000,11700000,20,590,0,21400000
3,0,1,4400000,15800000,18,779,0,31100000
2,0,1,1900000,5000000,14,641,0,9800000
0,0,1,5000000,18400000,12,752,0,35600000
0,0,0,8000000,23700000,10,305,1,63000000
4,1,0,8200000,20700000,10,546,1,53400000
2,0,0,7000000,24200000,8,833,0,53000000
2,1,0,2400000,8800000,18,421,1,12800000
5,0,0,6600000,18800000,4,639,0,33700000
3,0,0,3200000,6900000,20,735,0,17500000
0,1,1,2600000,5400000,2,377,1,13800000
3,1,0,6900000,15600000,20,310,1,33300000
4,0,0,4800000,14000000,2,695,0,33000000
1,1,1,300000,1200000,4,355,0,2000000
1,1,1,4300000,14100000,12,525,1,22800000
5,1,0,700000,2400000,20,330,1,5000000
5,0,0,9400000,25800000,14,625,0,85500000
3,1,1,800000,2900000,10,644,0,4400000
5,1,0,4400000,14900000,4,865,0,32800000
1,0,1,4700000,14800000,6,661,0,34500000
2,1,0,2300000,5000000,8,884,0,10700000
5,0,1,8500000,26700000,10,803,0,51100000
2,0,0,7600000,28300000,12,800,0,57900000
2,0,0,3200000,12600000,18,796,0,21300000
4,1,0,2400000,5000000,4,716,0,12600000
0,0,1,500000,1100000,18,479,1,4400000
3,1,1,8500000,28300000,2,810,0,58700000
0,0,1,8900000,20900000,18,568,0,57500000
0,0,0,2800000,5600000,8,842,0,9300000
3,1,1,2900000,7000000,4,806,0,20200000
1,0,1,4900000,17700000,8,722,0,35900000
5,1,0,9600000,20700000,14,442,1,75600000
3,0,1,3300000,9800000,6,360,1,20500000
3,1,0,2800000,5900000,4,461,1,13700000
2,0,0,7800000,22200000,10,735,0,44200000
4,0,1,2500000,8400000,12,761,0,17600000
0,0,0,4400000,10600000,20,653,0,33600000
0,1,0,7900000,30800000,4,726,0,48900000
1,0,0,8900000,22600000,18,617,0,63500000
0,0,0,5600000,13400000,2,460,1,26400000
1,1,0,1400000,3300000,8,306,1,7500000
5,0,1,500000,1400000,4,471,1,2200000
1,0,1,5100000,15300000,4,628,0,30500000
3,0,0,9800000,25600000,10,404,1,79600000
2,0,1,8600000,21600000,16,804,0,49600000
3,1,0,1600000,3900000,20,804,0,7400000
1,1,1,2500000,6700000,2,502,1,16800000
0,0,0,9500000,22600000,6,861,0,72500000
2,1,1,3000000,7800000,14,555,0,20600000
0,1,0,5100000,13600000,18,351,1,27400000
2,1,1,7600000,23600000,6,358,1,56100000
5,0,0,8800000,18800000,14,836,0,65500000
4,1,1,1100000,2900000,4,554,0,9500000
3,0,0,8700000,30500000,2,443,0,46300000
5,1,0,6100000,23600000,4,725,0,42900000
2,1,1,1900000,7000000,14,818,0,14900000
1,1,0,9900000,38700000,6,670,0,74300000
0,0,0,5800000,21100000,6,414,1,31900000
2,1,1,9500000,37000000,8,887,0,71000000
3,0,1,7900000,26600000,12,409,1,49700000
1,1,1,1300000,4500000,14,679,0,10100000
4,0,1,700000,2600000,18,478,1,3600000
3,0,0,600000,1200000,2,752,0,4600000
0,0,0,9400000,33000000,4,616,0,53300000
2,1,1,3800000,12500000,14,842,0,30300000
3,0,1,7800000,26300000,20,840,0,41900000
3,0,1,7800000,27700000,6,430,1,41400000
4,1,0,2700000,7000000,4,351,1,14400000
5,1,0,600000,2300000,4,347,1,2100000
3,1,1,8000000,28800000,10,576,0,54500000
0,1,1,4000000,11000000,8,799,0,29400000
1,1,1,3300000,10800000,2,550,0,25500000
2,0,0,5800000,13300000,4,878,0,36900000
3,0,1,2400000,4800000,12,895,0,17700000
4,1,0,7600000,29700000,6,603,0,44900000
2,1,1,2500000,6900000,12,325,1,17400000
2,0,0,3300000,11800000,4,393,0,18800000
3,0,0,9800000,30300000,2,612,0,53000000
0,0,1,1000000,3800000,8,553,0,6900000
0,1,1,2500000,8800000,14,389,1,20800000
0,0,0,1900000,6800000,4,782,0,10800000
3,0,0,3100000,8500000,12,493,1,27800000
5,0,1,6000000,11900000,2,629,0,25900000
5,1,0,6500000,21600000,10,419,1,41400000
2,1,1,5900000,15800000,2,444,1,44400000
5,1,1,6500000,15800000,16,301,1,43600000
0,0,1,3800000,11200000,20,479,1,24900000
3,1,1,3000000,11400000,10,424,1,18400000
0,0,0,4300000,16900000,18,469,1,24200000
4,1,1,3500000,8300000,2,897,0,27800000
3,1,0,300000,500000,2,477,1,2100000
3,1,1,600000,1400000,16,509,1,4200000
0,0,1,800000,1700000,4,752,0,7000000
0,1,1,5600000,19100000,14,875,0,44200000
2,1,1,1800000,3600000,4,343,1,12200000
0,0,0,6800000,20800000,20,819,0,63100000
2,0,1,4200000,16800000,2,433,0,21100000
1,1,1,200000,400000,6,768,0,1000000
2,0,1,8500000,31800000,6,714,0,50100000
2,1,1,2800000,10100000,16,531,1,17100000
0,0,1,3600000,8600000,6,529,1,23300000
1,1,0,6200000,19500000,20,448,1,40800000
1,0,0,2700000,10000000,2,584,0,20300000
1,0,0,6800000,22900000,4,501,0,35000000
2,1,0,6300000,24500000,18,848,0,40100000
4,1,0,8800000,19100000,6,586,0,59400000
1,0,0,5900000,13000000,2,386,1,37100000
5,1,1,9800000,37900000,18,301,1,52100000
2,0,0,3300000,8300000,6,653,0,20700000
4,0,1,300000,500000,14,448,1,1700000
1,1,1,4800000,11600000,16,696,0,29100000
1,0,0,7500000,28300000,16,707,0,33800000
2,1,0,8600000,21700000,4,429,1,53200000
4,1,0,8900000,21100000,6,631,0,36400000
5,1,1,9600000,29600000,4,446,0,76200000
0,0,1,7700000,18100000,18,705,0,41300000
3,1,1,7000000,15200000,2,709,0,47500000
4,1,1,7800000,19500000,14,739,0,35700000
4,0,0,9400000,32600000,4,898,0,54400000
4,1,1,600000,2100000,6,558,0,4800000
3,0,0,5100000,13300000,4,589,0,40200000
2,0,1,3800000,14400000,2,301,1,13700000
2,1,1,5300000,21200000,14,516,1,35800000
5,1,0,1100000,3600000,12,315,1,6500000
3,1,0,6400000,14400000,10,546,1,46900000
0,1,1,5100000,14500000,14,559,0,30400000
3,0,1,5300000,16900000,2,350,0,40000000
1,0,0,6700000,18700000,8,583,0,37400000
2,1,0,4000000,9400000,8,874,0,23100000
2,1,1,3900000,11600000,8,808,0,26800000
1,0,1,1600000,4900000,16,487,1,11300000
3,0,0,2700000,7800000,14,870,0,18500000
3,0,0,1400000,3800000,8,840,0,8700000
4,1,1,8000000,19200000,18,682,0,35700000
3,0,1,8200000,28900000,10,668,0,67900000
5,0,1,4800000,10300000,8,781,0,27000000
4,0,0,8100000,19000000,6,375,1,49600000
4,1,0,5900000,14900000,14,857,0,31600000
5,0,1,8100000,32100000,6,823,0,50600000
0,0,0,1400000,5000000,8,686,0,8400000
1,0,0,1600000,6300000,2,721,0,9700000
4,0,0,4600000,9400000,18,545,1,21000000
1,1,0,2900000,8900000,6,523,1,18000000
2,0,1,8600000,24900000,20,607,0,58400000
4,1,0,3800000,14900000,20,428,1,24700000
0,1,0,8200000,20300000,4,666,0,57000000
3,0,0,3200000,10100000,20,704,0,21100000
0,1,1,8100000,23800000,10,794,0,50400000
1,0,1,9800000,23300000,12,430,1,60200000
0,1,0,200000,500000,20,615,0,1500000
0,1,0,6600000,14100000,20,360,1,45100000
0,1,0,9100000,18300000,14,458,1,59400000
2,1,0,5500000,20400000,12,887,0,33800000
4,1,0,7200000,27400000,8,735,0,57200000
1,1,0,2400000,5600000,16,379,1,14900000
4,0,0,9600000,25500000,20,544,1,50300000
1,0,1,5800000,16700000,12,721,0,35500000
4,1,0,2300000,6000000,8,676,0,13400000
1,1,0,300000,1200000,4,342,0,2200000
0,1,0,9900000,27000000,16,566,0,69200000
2,1,0,3500000,14000000,2,355,0,25000000
2,0,0,4800000,18500000,20,605,0,31700000
2,1,0,1600000,5200000,16,525,1,10400000
5,0,1,800000,2500000,12,403,1,4500000
1,0,1,9000000,33500000,18,727,0,62700000
1,0,0,8300000,28900000,12,529,1,60500000
4,0,0,2800000,6100000,18,415,1,16800000
1,0,1,6400000,17300000,10,879,0,34700000
2,1,1,6000000,12600000,16,649,0,39100000
0,0,0,2900000,9800000,16,395,1,20700000
0,0,0,6500000,24100000,20,488,1,41900000
1,0,1,200000,400000,8,569,0,1400000
1,1,0,8400000,24600000,14,817,0,54400000
1,0,1,6100000,17800000,20,706,0,48100000
2,0,1,8000000,31200000,8,553,0,41600000
5,1,1,900000,1800000,14,464,1,5100000
2,0,0,7300000,20000000,6,729,0,50800000
4,1,1,3700000,7400000,12,363,1,26500000
2,0,0,5200000,17200000,12,565,0,31100000
1,0,0,7200000,21000000,14,421,1,41500000
0,1,1,9400000,34200000,10,512,1,67600000
3,1,1,3400000,12400000,2,730,0,23200000
0,0,0,600000,2300000,8,627,0,4800000
0,1,1,3300000,10000000,16,434,1,24100000
2,0,1,5900000,14300000,2,410,1,37300000
3,1,0,1300000,3600000,16,624,0,9900000
4,0,1,5700000,16900000,4,656,0,50800000
2,1,0,7700000,27300000,16,758,0,45800000
4,1,1,7000000,23500000,18,336,1,52000000
5,0,0,8100000,21900000,18,378,1,34400000
1,0,1,1900000,4200000,4,620,0,15900000
0,1,1,9600000,34000000,12,710,0,80000000
1,1,1,5400000,20700000,8,753,0,25300000
1,1,1,7800000,27200000,16,454,1,48000000
1,0,1,8200000,19100000,8,619,0,67500000
2,0,0,8900000,28500000,6,367,1,69600000
1,0,0,1400000,3100000,20,384,1,7400000
2,0,0,1700000,5900000,16,610,0,8400000
0,0,0,5300000,19500000,12,802,0,31500000
3,0,0,6500000,25200000,10,858,0,48400000
2,0,0,5900000,14000000,8,599,0,38700000
